PageZone,Folio,ImageRoI,"Label"
urn:cite:hmt:pageroi.1,urn:cite:hmt:msA.12r,"urn:cite:hmt:vaimg.VA012RN_0013@0.0417,0.0813,0.845,0.8813","Page area of folio 12r"
urn:cite:hmt:pageroi.2,urn:cite:hmt:msA.12v,"urn:cite:hmt:vaimg.VA012VN_0514@0.1167,0.0801,0.815,0.8561","Page area of folio 12v"
urn:cite:hmt:pageroi.3,urn:cite:hmt:msA.13r,"urn:cite:hmt:vaimg.VA013RN_0014@0.0675,0.0892,0.795,0.8638","Page area of folio 13r"
urn:cite:hmt:pageroi.4,urn:cite:hmt:msA.13v,"urn:cite:hmt:vaimg.VA013VN_0515@0.1063,0.0798,0.8113,0.8423","Page area of folio 13v"
urn:cite:hmt:pageroi.5,urn:cite:hmt:msA.14r,"urn:cite:hmt:vaimg.VA014RN_0015@0.0688,0.0883,0.8025,0.8732","Page area of folio 14r"
urn:cite:hmt:pageroi.6,urn:cite:hmt:msA.14v,"urn:cite:hmt:vaimg.VA014VN_0516@0.1013,0.0816,0.8163,0.8583","Page area of folio 14v"
urn:cite:hmt:pageroi.24,urn:cite:hmt:msA.23r,"urn:cite:hmt:vaimg.VA023RN_0024@0.0725,0.0573,0.815,0.8657","Page area of folio 23r"
urn:cite:hmt:pageroi.41,urn:cite:hmt:msA.97v,"urn:cite:hmt:vaimg.VA097VN_0600@0.0763,0.0723,0.8425,0.8592","Page area of folio 97v"
urn:cite:hmt:pageroi.50,urn:cite:hmt:msA.24v,"urn:cite:hmt:vaimg.VA024VN_0526@0.13,0.0761,0.8075,0.8554","Page area of folio 24v"
urn:cite:hmt:pageroi.7,urn:cite:hmt:msA.15r,"urn:cite:hmt:vaimg.VA015RN_0016@0.0712,0.0883,0.81,0.8667","Page area of folio 15r"
urn:cite:hmt:pageroi.10,urn:cite:hmt:msA.16v,"urn:cite:hmt:vaimg.VA016VN_0518@0.1013,0.0742,0.815,0.8563","Page area of folio 16v"
urn:cite:hmt:pageroi.12,urn:cite:hmt:msA.17v,"urn:cite:hmt:vaimg.VA017VN_0519@0.085,0.0826,0.8388,0.8545","Page area of folio 17v"
urn:cite:hmt:pageroi.19,urn:cite:hmt:msA.20v,"urn:cite:hmt:vaimg.VA020VN_0522@0.1363,0.0742,0.8138,0.861","Page area of folio 20v"
urn:cite:hmt:pageroi.31,urn:cite:hmt:msA.93r,"urn:cite:hmt:vaimg.VA093RN_0094@0.05,0.0695,0.8363,0.8704","Page area of folio 93r"
urn:cite:hmt:pageroi.49,urn:cite:hmt:msA.25r,"urn:cite:hmt:vaimg.VA025RN_0026@0.0625,0.0563,0.8188,0.8657","Page area of folio 25r"
urn:cite:hmt:pageroi.8,urn:cite:hmt:msA.15v,"urn:cite:hmt:vaimg.VA015VN_0517@0.1113,0.0732,0.805,0.8554","Page area of folio 15v"
urn:cite:hmt:pageroi.23,urn:cite:hmt:msA.22v,"urn:cite:hmt:vaimg.VA022VN_0524@0.1175,0.0751,0.8213,0.8582","Page area of folio 22v"
urn:cite:hmt:pageroi.30,urn:cite:hmt:msA.92v,"urn:cite:hmt:vaimg.VA092VN_0595@0.07,0.0761,0.8438,0.8563","Page area of folio 92v"
urn:cite:hmt:pageroi.36,urn:cite:hmt:msA.95v,"urn:cite:hmt:vaimg.VA095VN_0598@0.0938,0.0714,0.8138,0.862","Page area of folio 95v"
urn:cite:hmt:pageroi.39,urn:cite:hmt:msA.96v,"urn:cite:hmt:vaimg.VA096VN_0599@0.0838,0.0732,0.8263,0.8629","Page area of folio 96v"
