Graphic,Caption,Folio,VisualEvidence
urn:cite:hmt:vagraphics.1,"1 Recto: Sailing boat holding Aphrodite and Paris",urn:cite:hmt:msA.1r,"urn:cite:hmt:vaimg.VA001RN_0002@0.59239544,0.52537567,0.29049430,0.32832435"
urn:cite:hmt:vagraphics.2,"Helen on 1 Verso: Helen with two attendants urn:cite:hmt:msA.1v",urn:cite:hmt:msA.1v,"urn:cite:hmt:vaimg.VA001VN_0503@0.14114114,0.09241172,0.28728729,0.21337340"
urn:cite:hmt:vagraphics.3,"Helen (2) on 1 Verso: Helen with two attendants",urn:cite:hmt:msA.1v,"urn:cite:hmt:vaimg.VA001VN_0503@0.13113113,0.29827198,0.28828829,0.26897070"
urn:cite:hmt:vagraphics.4,"Scene on bottom of 1 Verso: Aphrodite, Paris, and Helen sailing for Troy",urn:cite:hmt:msA.1v,"urn:cite:hmt:vaimg.VA001VN_0503@0.13613614,0.55597295,0.71771772,0.36363636"
urn:cite:hmt:vagraphics.5,"Archer on 4 Recto: Apollo brings on the pestilence",urn:cite:hmt:msA.4r,"urn:cite:hmt:vaimg.VA004RN_0005@0.56656657,0.11682243,0.30430430,0.83644860"
urn:cite:hmt:vagraphics.6,"Animal on 4 Verso: Scavangers devour the corpses of the dead",urn:cite:hmt:msA.4v,"urn:cite:hmt:vaimg.VA004VN_0506@0.11711712,0.12171300,0.48148148,0.75957926"
urn:cite:hmt:vagraphics.7,"Achilles on 4 Verso: Achilles and the Myrmidons",urn:cite:hmt:mA.4v,"urn:cite:hmt:vaimg.VA004VN_0506@0.39439439,0.35086401,0.49549550,0.34710744"
urn:cite:hmt:vagraphics.8,"Four Figures led by a Horseman on 6 Recto: The Horseman leads the group containing two soliders leading two women, possibly Chryseis and Briseis",urn:cite:hmt:msA.6r,"urn:cite:hmt:vaimg.VA006RN_0007@0.52370370,0.09229914,0.33851852,0.41757020"
urn:cite:hmt:vagraphics.9,"Three Figures on 6 Recto: Chrsyseis being presented to Agamemnon",urn:cite:hmt:msA.6r,"urn:cite:hmt:vaimg.VA006RN_0007@0.56456456,0.59654395,0.28328328,0.31480090"
urn:cite:hmt:vagraphics.10,"Two Figures on 6 Recto: Briseis being present to Achilles",urn:cite:hmt:msA.6r,"urn:cite:hmt:vaimg.VA006RN_0007@0.09909910,0.78287002,0.26626627,0.14951165"
urn:cite:hmt:vagraphics.11,"Upper Image on 6 Verso: Chrsyses asks Agamemnon for the return of his daughter",urn:cite:hmt:msA.6v,"urn:cite:hmt:vaimg.VA006VN_0508@0.12612613,0.08339594,0.28728729,0.25694966"
urn:cite:hmt:vagraphics.12,"Lower Image on 6 Verso: Chrsyses prays for Apollo to bring a pestilence upon the Greeks",urn:cite:hmt:msA.6v,"urn:cite:hmt:vaimg.VA006VN_0508@0.11811812,0.38842975,0.31931932,0.35612322"
urn:cite:hmt:vagraphics.13,"8 Verso: Various battle scenes",urn:cite:hmt:msA.8v,"urn:cite:hmt:vaimg.VA008VN_0510@0.11411411,0.08414726,0.82882883,0.83245680"
urn:cite:hmt:vagraphics.14,"9 Recto: Marriage banquet of Peleus and Thetis and the three goddesses prior to the Judgment of Paris",urn:cite:hmt:msA.9r,"urn:cite:hmt:vaimg.VA009RN_0010@0.07807808,0.14124718,0.75475475,0.76934636"
urn:cite:hmt:vagraphics.15,"Upper Image on 9 Verso: Hermes leads the goddesses to Mt. Ida for the Judgment of Paris",urn:cite:hmt:msA.9v,"urn:cite:hmt:vaimg.VA009VN_0511@0.40640641,0.09616829,0.50750751,0.41021788"
urn:cite:hmt:vagraphics.16,"Lower Image on 9 Verso: The Judgment of Paris",urn:cite:hmt:msA.9v,"urn:cite:hmt:vaimg.VA009VN_0511@0.40740741,0.50864012,0.49449449,0.39744553"
